"","trim.321ra.gtf","trim.331ra.gtf","trim.336r.gtf","trim.370r.gtf","trim.380r.gtf","trim.410r.gtf","trim.414r.gtf","trim.419r.gtf","trim.468r.gtf","trim.512r.gtf","trim.549r.gtf","trim.568r.gtf","trim.571r.gtf","trim.581r.gtf","trim.586r.gtf","gene"
"Ahyacinthus06611",9.11489168072445,8.86339388550801,8.23157739641967,9.32046170824559,8.49830604907724,9.08978088770702,9.99761515267197,9.09578993637908,8.47575733029822,8.6322855895801,9.39308255930153,9.12498011714777,9.06837883563761,9.48842676466304,8.58551246326539,"Ahyacinthus06611"
"Ahyacinthus22512",8.34217326774233,8.07073969725717,7.33090388960633,8.66036529780894,8.03885480438592,8.66010030448391,8.60762783907769,8.15786009639861,7.77955443269095,8.26210266789242,8.22546089640326,8.89351507807637,7.87674152601633,8.49425255117725,7.87033057057526,"Ahyacinthus22512"
"Ahyacinthus18598",10.4839350581876,10.7934273308961,10.9345932174901,9.92718026696313,11.1668711340154,10.187841597419,10.6767858299424,10.6156655938464,10.9064576150749,10.9042215367784,10.1691328727361,9.89893703371492,10.440717114159,9.68324956753011,10.8358338980294,"Ahyacinthus18598"
"Ahyacinthus02861",10.5927115261622,6.74493011005638,6.47174411986686,7.76213735758944,6.47174411986686,7.34890233232377,9.80398245707435,7.0949206094056,6.47174411986686,6.58372676791143,6.47174411986686,12.4632338687528,6.47174411986686,12.1912227842274,7.49806345470596,"Ahyacinthus02861"
"Ahyacinthus14520",7.96180383811553,7.7680293854981,8.19536159794561,6.47174411986686,7.65791249634675,8.59195481190219,10.6001917225987,7.8131133850622,8.48299115540364,7.41823157079051,8.39799777719352,9.04078804396855,8.78595855039929,11.983577490001,8.63707318812459,"Ahyacinthus14520"
"Ahyacinthus12371",14.1081857769812,9.17867823528403,10.0159499948523,10.5060359045353,8.97964828023797,12.1814376003883,10.3948902108793,8.93994562748303,11.8094809069154,10.7483350799248,8.68529103518541,15.7903054595096,11.8842660525142,15.1628420706808,11.197445558292,"Ahyacinthus12371"
"Ahyacinthus15680",9.64778698319832,9.40072094181301,9.84164525961358,11.1806060182674,9.0719925946991,10.187841597419,10.3349393152537,9.64089597369911,9.01984662833175,9.52579425312628,10.0312031145977,9.10144926726623,9.22253783046502,10.5008218615671,8.87679782390991,"Ahyacinthus15680"
"Ahyacinthus09956",8.40814745187025,7.33270160489634,6.47174411986686,9.59667818299796,7.03091782829652,8.40762687855052,7.29674673454158,7.18065772703264,7.2676045921838,7.69233097731586,7.6069097240755,9.19324561069966,7.57162960179118,9.82303703491218,6.47174411986686,"Ahyacinthus09956"
"Ahyacinthus09955",9.29379895746775,11.7382166284278,11.219108621018,9.70020744019202,11.9299038828195,8.61714910404499,8.29049683668651,10.9987258940642,12.0996189660401,10.6302280998609,10.7612236042265,8.38527662422394,10.9733041513981,9.2138819146203,10.4706990333303,"Ahyacinthus09955"
"Ahyacinthus12086",8.65615488301551,7.88305438611316,7.00063874002204,8.76939867813957,7.18716717847574,9.32669294043343,7.1799724771863,8.17652162755515,6.9350888991235,7.91374637880654,9.95109336337507,7.9906516332616,7.78482153366454,8.17044666744619,6.47174411986686,"Ahyacinthus12086"
"Ahyacinthus17266",10.3833079989833,8.78523083725321,8.58763523289222,14.7082340376346,7.92924511806663,11.961787732497,10.5796983649359,7.07409654292784,8.52206130967546,8.22023842412806,10.6931675624937,13.4333494633826,7.66252372238386,15.8143436759219,8.83683052477824,"Ahyacinthus17266"
"Ahyacinthus20307",11.3192286268215,10.9030647148199,12.7394893414621,11.1615914550676,12.4685274367374,10.9450531642564,9.68789090562368,11.6462451498722,12.6385084854294,12.0310013123009,11.7325937282818,11.0631850099579,12.270566240432,8.66680491333723,11.5716712235632,"Ahyacinthus20307"
"Ahyacinthus08703",11.7892918853008,11.836743546014,13.0194007819387,10.9780996457793,12.8132943774173,11.8572311311897,11.085314002267,11.8907051521865,13.3509459889006,12.8321032794098,12.2481272796256,12.2996790115939,12.881036692317,11.6177568751918,12.5880346657799,"Ahyacinthus08703"
"Ahyacinthus04853",8.866188304455,8.46948710064288,8.02894882801841,8.95250338164281,7.74373321192107,9.33405383311616,10.1317519919945,8.39357080994064,7.76629740969401,8.31577865202034,8.95280841051765,8.06624251709547,8.49125342394784,8.47735689571525,7.79791765040817,"Ahyacinthus04853"
"Ahyacinthus04855",9.31928534807302,8.26197977710311,7.87802354421555,8.99740170038861,7.6756796697769,8.75329886580375,10.3751845768248,8.30520134062837,7.9326261645718,7.87224218136947,8.50600779515774,7.54777081477094,8.30483248013799,8.69586245189671,8.07862089266167,"Ahyacinthus04855"
"Ahyacinthus01625",8.36947337156541,7.71608430153868,8.73168190050758,10.1903231473155,7.72714653148636,8.35511851083218,8.30858551186224,7.89507955037318,7.30206613625848,8.63841400977492,7.68543457908865,10.0008316003435,7.60674074118474,9.85437739285934,7.76328029421239,"Ahyacinthus01625"
"Ahyacinthus26592",7.86039298710404,7.46120329274709,7.15621464203543,9.53069165003482,8.12344954899071,7.5135853472398,7.83336670537687,7.71956710432152,8.30095304959932,7.77147138639818,7.28450386031593,11.4537933974419,8.20324050234845,12.4118338836499,7.48872046461972,"Ahyacinthus26592"
"Ahyacinthus10152",10.3621893784186,10.8048271492344,12.2227831847445,9.1035636007655,11.6622849471224,10.7232137040537,10.7851108711876,11.0431788947794,11.3626092985377,11.3816641908366,10.8317718339628,10.9671713272933,10.7895402484975,9.64062736442873,11.1278190180514,"Ahyacinthus10152"
"Ahyacinthus10153",10.3454160758896,9.56779200767547,9.12128031778029,11.6482191935399,9.19638103203847,10.8447612607785,12.3120719525483,9.85729707722188,9.38856546272974,9.92147811651153,11.0607627517224,10.4138735549072,10.0941286527206,12.2414209970411,10.272673996016,"Ahyacinthus10153"
"Ahyacinthus18020",10.7391588711521,11.5385899356075,12.3607360899035,10.9084829150562,12.2702123019565,10.8548599500215,10.6370184063572,11.4802079870166,12.1092485234763,11.3746970538711,11.3347361842185,10.8820892026709,11.5576859994715,9.23333159425744,11.2439903825563,"Ahyacinthus18020"
"Ahyacinthus06926",12.1191096575903,12.3220066794733,11.5101519330962,13.6760993019153,10.5785617028358,12.7393856596811,12.9908217336576,11.6737595535883,12.0072831434525,10.5431203637632,11.6527124761607,11.7607236789352,11.9080286990501,15.1321383752485,12.2354643932691,"Ahyacinthus06926"
"Ahyacinthus06925",11.6742767399162,11.702712385599,11.4638806423873,13.3278454193514,10.6250852689463,12.0025954762469,12.0219596330116,11.2558752704216,11.5028864808316,10.8843069257099,11.31251024664,11.2339320183235,11.1448725684598,14.8041380135275,11.5161081882154,"Ahyacinthus06925"
"Ahyacinthus04384",15.1995834279021,14.0072128416075,14.3229226006961,14.6283748294101,14.2210806434981,15.2349161837186,14.7506671535307,13.8325130052532,14.7151227132618,14.3642733086833,14.5731557137464,15.3899988618263,14.1633049161994,14.372232938946,14.040501032012,"Ahyacinthus04384"
