gene,trim.211r.gtf,trim.218r.gtf,trim.227r.gtf,trim.235r.gtf,trim.236r.gtf,trim.244r.gtf,trim.253r.gtf,trim.61r.gtf,trim.71r.gtf,trim.76r.gtf,trim.82r.gtf,trim.86r.gtf
Peve_00040525,7.057734745,7.527594988,7.473452365,6.391015158,6.391015158,8.272208496,6.391015158,7.568790629,6.391015158,7.408637813,6.391015158,7.474203009
Peve_00040523,8.091610481,8.13596851,7.870994496,6.391015158,8.400627971,7.889348492,8.427608101,7.707221695,7.801440885,7.882040634,8.172811764,8.059229911
Peve_00040522,10.74173421,10.76656023,10.4096688,10.66246447,11.3260126,11.01431786,11.43701231,10.50166082,10.16178551,10.22333813,10.60627792,10.8338092
Peve_00034298,6.674182294,6.391015158,6.891730472,6.391015158,7.221845409,6.391015158,6.391015158,7.07079289,6.391015158,9.471739812,6.391015158,6.391015158
Peve_00040520,12.3292656,12.81418094,12.03044924,11.98706949,12.01118697,12.21362179,12.62887869,12.26747633,11.92880219,12.24450459,12.25858264,12.47559229
Peve_00041317,7.004521564,8.141189872,6.957295047,7.806575493,6.391015158,6.391015158,6.391015158,7.168128162,6.391015158,6.391015158,6.391015158,7.492831772
Peve_00041315,8.733284627,8.818703346,8.466435812,8.377597559,8.807897864,7.989369634,8.836193088,8.912450922,6.391015158,7.919495463,6.391015158,8.580829448
Peve_00041314,8.624564699,8.394592616,8.869698118,6.391015158,9.309188968,8.357575486,9.324769251,8.575469916,6.391015158,8.725115836,6.391015158,8.425668482
Peve_00032440,6.513789988,6.391015158,6.907633275,6.391015158,7.179394239,6.391015158,6.391015158,6.391015158,9.350015316,8.066295093,6.391015158,7.309144317
Peve_00032442,7.164880667,7.211500915,7.408558172,7.380049265,7.431129816,7.044888824,8.482592291,6.9893127,7.365717091,7.311718152,7.734157975,7.144776636
Peve_00041313,8.762982902,9.029108185,8.802997818,6.391015158,9.444343469,9.290792714,9.05070313,8.795340696,8.821749714,9.396920306,6.391015158,8.465263506
Peve_00044140,7.700270027,8.444587309,7.076614179,6.391015158,6.685269047,6.391015158,7.700741969,8.504617662,6.391015158,6.391015158,6.391015158,7.385261551
Peve_00041311,9.553894358,8.890577903,8.893538012,6.391015158,8.053715698,6.391015158,9.005762229,9.13591895,9.553942473,8.983382178,6.391015158,8.824516217
Peve_00041310,9.735184326,9.110930573,10.36940376,9.527340417,9.423328405,8.94551013,8.599966043,10.62704051,9.010930924,10.50396994,9.365362949,9.313547587
Peve_00030974,6.904500161,6.791423919,7.542704305,6.391015158,7.615989323,6.391015158,6.7253397,6.893962853,6.689984896,6.800283046,6.391015158,6.724590315
Peve_00030979,7.255094213,7.012202173,7.125047474,6.391015158,6.391015158,6.391015158,7.388164021,6.391015158,6.391015158,7.408637813,6.391015158,6.391015158
Peve_00032193,8.019596538,7.55469491,7.518711444,6.391015158,7.866878882,7.412293737,7.915967206,7.792916076,6.391015158,6.99566009,6.391015158,8.042884626
Peve_00032192,10.30245703,10.39527464,9.646110834,9.378966758,9.832253694,10.18941778,10.23112687,9.521024043,8.62942195,9.574380991,9.593892042,10.30552071
Peve_00032191,8.847012126,8.182170186,9.234972718,9.342371917,8.218001902,9.000988389,8.431922198,9.118745048,7.745518531,9.116228458,9.061370398,8.809583483
Peve_00032197,12.20285515,11.30205169,10.59766062,12.62159884,13.41649209,12.12047563,12.54321489,12.18265087,11.89218683,12.30004035,12.49741579,13.66589177
Peve_00032195,8.633074191,7.356826936,8.534642373,6.391015158,7.977326216,6.391015158,8.104088214,7.553303468,7.773844099,7.1397691,8.343367812,8.117307988
Peve_00032194,9.118294102,8.580228939,8.812625534,9.26616852,8.964087982,9.168000209,9.636075354,9.107175756,6.391015158,6.391015158,6.391015158,8.916363451
Peve_00032198,9.61330155,9.36222523,8.582890696,10.14844808,10.95399385,9.912092606,10.76395556,11.07366854,10.3937832,10.64705139,11.66985332,11.64203181
Peve_00036632,6.984286225,7.111634724,6.391015158,6.391015158,7.837482302,6.391015158,7.724571419,7.13433304,6.391015158,6.391015158,6.391015158,7.692081782
Peve_00036633,8.969416035,9.324437068,8.895621528,9.548836623,9.900485006,9.635398424,9.379206151,9.501468046,9.873429611,9.302141628,10.13146534,9.822538397
Peve_00036630,8.249061321,8.398834375,8.079837909,9.085128644,8.617723168,6.391015158,7.706084627,8.685002448,8.301606393,8.182220516,8.044249389,8.633279895
Peve_00036631,7.548326313,6.391015158,7.316524402,6.391015158,6.391015158,6.391015158,7.025420985,7.483119662,6.391015158,8.10619276,6.391015158,7.546589098
Peve_00036634,8.202410248,8.500557235,8.604639651,6.391015158,7.67716478,8.27850293,7.924720854,8.55811443,8.45241654,7.843287764,6.391015158,8.080678235
Peve_00036635,9.631317591,9.922068419,9.310393773,9.53812959,9.761553529,9.520548243,9.729553454,8.961777533,9.503852033,9.597631937,9.655787941,9.704791583
Peve_00019497,10.10120148,10.68399048,10.20470598,9.997455203,10.04077856,9.976750104,10.26960815,10.61908094,10.9670508,9.523997061,10.92964213,10.32703151
Peve_00019496,8.347072706,7.287481788,9.21532238,6.391015158,7.711230587,8.088790212,7.975877047,8.276031752,6.391015158,8.341050041,6.391015158,8.346879895
Peve_00016744,7.388700761,7.311256257,7.911081355,6.391015158,7.152671532,6.391015158,7.019267923,8.131732893,6.391015158,7.672725593,6.391015158,7.729056353
Peve_00043348,6.894817725,6.729731037,7.121444903,6.391015158,6.391015158,6.391015158,6.643982437,6.880677493,6.391015158,7.49587731,6.391015158,7.002872538
Peve_00016745,7.279392192,7.17041599,8.583767611,6.391015158,7.533802792,6.391015158,6.546049264,6.893962853,6.391015158,8.253786526,7.899881634,7.212326216
Peve_00036816,8.633074191,9.335036858,8.146071441,9.233142371,7.687012867,6.391015158,8.479828954,8.405319214,8.1899531,7.729028955,6.391015158,8.566481324
Peve_00010030,8.312942454,8.887658179,8.449049579,8.271966241,7.378440267,8.569039743,7.721950352,7.516162845,10.062212,6.391015158,8.750197502,8.03186039
Peve_00010031,10.47452341,9.702619905,6.923041451,8.739835605,9.919016635,6.391015158,7.631505865,7.738008886,6.391015158,8.360355082,6.391015158,10.77180221
Peve_00010032,7.841599842,10.93867971,7.052971072,8.186417697,6.391015158,7.044888824,7.410190726,9.991141333,6.391015158,10.28151029,9.593892042,8.037385432
Peve_00010033,9.545595637,9.927627975,9.358827211,9.304791336,8.865103837,9.633098747,9.683300653,9.539247052,6.391015158,9.443433945,6.391015158,9.848375473
Peve_00010035,7.462397721,9.390924919,6.713761313,6.391015158,7.662213207,6.391015158,7.121647341,8.86126438,6.391015158,8.884199043,8.172811764,7.692081782
Peve_00034908,9.481950139,9.444664718,9.509132886,9.719414826,9.486642444,9.441055325,9.609139731,9.723666696,10.10096895,10.02742039,9.808700342,9.45015068
