gene,trim.321ra.gtf,trim.331ra.gtf,trim.336r.gtf,trim.370r.gtf,trim.380r.gtf,trim.410r.gtf,trim.414r.gtf,trim.419r.gtf,trim.468r.gtf,trim.512r.gtf,trim.549r.gtf,trim.568r.gtf,trim.571r.gtf,trim.581r.gtf,trim.586r.gtf
Ahyacinthus17479,7.147721157,7.502235835,7.752281107,6.47174412,7.095959469,7.77376443,7.656396604,7.37425595,7.396999185,7.575854471,7.319657892,8.256245887,7.341141879,6.47174412,7.399720789
Ahyacinthus04609,9.801668452,10.71538915,9.714003189,8.833254497,9.81787272,9.440035201,9.535789529,9.681341227,9.556449801,9.691941225,9.085798005,10.14328367,9.705467755,9.047509362,9.736813636
Ahyacinthus04608,9.190847992,8.825939341,8.784132954,8.941042308,8.90811716,8.747662774,8.760112339,9.319489423,8.600109117,8.487278287,8.96592564,8.78929535,8.009352683,8.103159283,9.162323309
Ahyacinthus04601,8.306535972,7.918811192,7.520499846,6.47174412,7.295114005,6.47174412,7.276891919,8.990080378,8.041382535,6.47174412,8.248401081,7.10902224,6.47174412,6.47174412,6.47174412
Ahyacinthus04603,8.499946715,8.300649235,8.101916133,6.47174412,7.197706138,8.76449968,8.364752572,8.316254053,8.178212356,7.844977192,8.609025636,6.47174412,9.201104436,6.47174412,7.79791765
Ahyacinthus04602,8.398590136,8.34733877,8.097487591,6.47174412,7.738234331,7.870829939,7.975457619,9.371430931,8.580198639,8.026334182,8.766491272,8.327802902,9.231622638,8.779381729,8.647145043
Ahyacinthus04605,9.787099443,10.60643555,9.603714313,10.39207617,9.862910452,10.20972033,11.14362198,10.57155317,10.22689446,10.40707411,10.81779639,9.489436113,10.86302689,11.17624014,10.34539036
Ahyacinthus04607,8.556260503,8.066888876,7.40495173,8.808077994,7.952039935,7.959876516,8.434834681,8.294048579,8.092105998,8.545499865,8.270916546,6.47174412,7.784821534,6.47174412,8.774545758
Ahyacinthus04606,8.475355879,8.652618175,8.359441088,8.572195577,8.26955987,8.436674833,9.257349983,8.722322154,8.689203338,8.379752575,9.277395825,8.497574649,8.672260033,6.47174412,8.089146088
Ahyacinthus19061,7.871720137,7.348928343,8.227606652,6.47174412,6.47174412,7.798881281,6.47174412,7.464700968,6.47174412,7.891303964,6.849959595,7.961866553,6.47174412,8.765822451,6.47174412
Ahyacinthus19060,7.425359663,8.127025162,8.422150017,8.75625137,9.036184776,7.562191963,7.811452692,8.239640574,7.575780967,8.666639563,7.058781445,7.309820833,8.81086782,6.47174412,8.351475107
Ahyacinthus13205,9.04918855,9.490654329,9.301352032,8.375351073,9.142680008,8.781125683,8.737178685,9.28683701,8.00449641,9.38389718,9.173761106,9.287105722,8.906109965,8.895588082,8.633698575
Ahyacinthus13204,7.363311203,7.02897541,7.975946223,6.47174412,7.754642937,6.47174412,7.306478651,7.705475483,7.078829998,7.155798948,6.47174412,7.10902224,7.25866164,6.47174412,6.47174412
Ahyacinthus13207,11.09684223,10.06981743,10.34434662,10.37147662,9.385079026,10.20378661,10.45092415,10.6499025,10.41867919,9.956362298,9.116529683,10.56349496,10.10714628,10.45682642,9.521785365
Ahyacinthus13206,8.497730647,8.718302628,8.809602055,9.239598142,8.368676174,9.124395524,9.11347488,8.30242261,8.135943593,9.035335632,8.284229312,8.999860056,8.819068567,9.344616115,8.179855543
Ahyacinthus13201,9.079575654,9.198070545,8.191269523,6.47174412,8.333248873,9.334053833,9.9799223,8.975233779,8.210083708,8.397092653,8.828630872,8.720252793,8.760574039,8.84518211,9.148574108
Ahyacinthus13200,9.150679872,7.689074873,7.828377957,8.075129514,6.47174412,7.708150047,7.479525571,6.47174412,6.47174412,6.47174412,7.272405769,8.130919876,8.113877822,9.204053297,7.824824304
Ahyacinthus02609,7.978974053,7.901078997,8.106327975,6.47174412,7.852946862,7.57783667,7.822466425,7.846656,7.849611186,7.454488011,8.082972008,7.309820833,8.084963178,6.47174412,8.76234436
Ahyacinthus02608,7.164955607,7.737181244,7.528196668,6.47174412,7.50940331,6.47174412,7.706688495,8.129306137,7.567644341,7.238713688,7.606909724,7.547770815,8.261424326,6.47174412,8.013373124
Ahyacinthus02607,9.145234362,9.117103662,10.06279178,6.47174412,8.504024852,9.391578745,8.86220067,9.207979008,9.470697313,9.238996349,8.978917063,8.410552339,9.252591034,8.907899672,8.585512463
Ahyacinthus02606,9.162853941,8.613550958,8.902188257,10.52852217,9.330653027,9.814074692,8.552570737,8.818893361,9.031810216,8.626128259,9.187149272,10.57398025,9.237646145,9.803894223,9.511183784
Ahyacinthus02604,9.530858873,9.48021537,9.921893642,9.713453878,10.6797059,11.05858395,9.737220133,10.02086369,10.31839787,8.936414704,9.849690016,11.11714323,10.37108672,8.752123247,10.31654546
Ahyacinthus02600,7.547723735,7.102484519,7.656793707,8.097667101,6.752640413,7.859170222,7.168296413,7.63184315,7.932626165,7.137875657,7.395945569,7.547770815,6.47174412,6.47174412,7.895495941
Ahyacinthus08979,8.552015106,8.948856723,8.445717177,8.602254119,8.393824023,8.672117472,8.315747269,8.245483398,8.500898339,8.286547737,8.007438932,7.59053998,8.149048199,6.47174412,8.04645957
Ahyacinthus08978,9.948915101,9.664079583,9.359894977,9.040863133,9.433167247,9.32669294,9.25384233,9.621269677,9.9321845,9.895558016,9.92247781,10.37479031,9.955147448,8.575544876,9.983012602
