"","trim.16r.gtf","trim.211r.gtf","trim.218r.gtf","trim.225r.gtf","trim.227r.gtf","trim.235r.gtf","trim.236r.gtf","trim.244r.gtf","trim.253r.gtf","trim.34r.gtf","trim.43r.gtf","trim.61r.gtf","trim.71r.gtf","trim.76r.gtf","trim.82r.gtf","trim.86r.gtf"
"Peve_00006605",0,417,84,0,456,0,151,0,310,0,0,88,0,70,16,81
"Peve_00039637",0,248,126,0,302,0,93,0,215,0,0,68,53,83,0,83
"Peve_00043992",0,387,130,0,493,60,754,0,1368,0,0,100,0,49,0,103
"Peve_00043991",0,386,132,0,498,53,752,0,1378,0,0,96,0,54,0,103
"Peve_00038936",92,1129,135,0,2666,0,211,0,549,0,0,414,0,295,0,249
"Peve_00043996",0,236,62,34,323,0,313,0,236,0,0,124,0,55,11,46
"Peve_00043995",0,461,168,0,175,156,302,57,169,0,0,0,0,0,0,199
"Peve_00039630",0,5450,1100,0,7827,377,1032,812,2333,0,0,3226,124,656,59,1453
"Peve_00018243",0,669,51,0,184,0,157,0,572,0,0,0,68,126,0,110
"Peve_00008148",0,344,171,0,648,64,269,0,207,0,0,129,184,26,0,69
"Peve_00043663",0,2217,477,0,7060,0,953,361,1660,0,0,470,117,285,52,564
"Peve_00043665",0,4926,1433,0,3494,511,667,982,1403,0,0,1269,294,710,103,1486
"Peve_00043667",0,115,58,0,143,0,239,42,194,0,0,52,0,52,0,73
"Peve_00043666",235,1301,239,0,1259,73,369,345,1061,75,0,562,94,194,41,230
"Peve_00043668",0,6318,1237,0,8347,237,1909,1089,5562,0,0,1761,203,511,46,1648
"Peve_00006471",0,698,254,0,1097,134,249,0,503,0,0,237,0,47,0,317
"Peve_00018103",0,11284,2093,13,567,488,0,613,45,0,0,1126,190,182,13,3695
"Peve_00003444",0,323,145,0,237,0,473,0,766,0,0,166,48,97,0,90
"Peve_00016942",0,162,136,0,313,0,609,0,1196,0,0,359,0,49,0,55
"Peve_00016940",0,2707,517,0,2944,97,577,359,1742,0,0,690,129,414,57,591
"Peve_00016941",0,2996,738,0,3546,218,1404,694,2232,0,20,1459,150,369,33,680
"Peve_00006788",0,547,330,0,283,0,104,402,330,0,0,176,0,77,0,229
"Peve_00001172",427,10242,1324,174,20853,312,4703,1868,7384,62,67,4259,401,1508,37,1890
"Peve_00006787",0,407,241,0,319,0,909,129,1582,0,0,211,110,40,17,135
"Peve_00035633",105,744,0,0,549,0,232,0,445,0,0,135,77,0,0,131
