"trim.321RA.gtf","trim.331RA.gtf","trim.336R.gtf","trim.370R.gtf","trim.380R.gtf","trim.410R.gtf","trim.414R.gtf","trim.419R.gtf","trim.468R.gtf","trim.512R.gtf","trim.549R.gtf","trim.568R.gtf","trim.571R.gtf","trim.581R.gtf","trim.586R.gtf"
62,38,0,0,0,16,17,47,0,19,2,0,34,0,0
70,30,37,0,0,0,23,100,66,0,37,0,72,0,0
1079,1126,938,134,807,618,2288,940,621,858,1030,233,839,416,1874
150,400,164,24,264,161,53,438,243,341,320,77,143,0,177
117,154,41,0,66,17,84,179,199,172,182,0,84,0,85
1,24,52,29,40,4,1,30,1,18,98,0,32,0,12
1599,1050,1115,206,1427,452,1025,975,1091,712,597,648,728,253,796
14486,10648,8221,2994,11729,4299,7670,8966,7552,11621,7208,9951,3789,2329,6602
394,283,131,0,111,108,538,313,232,269,358,166,256,22,179
24,63,58,0,78,28,173,47,5,97,50,11,50,0,0
17213,8528,4975,425,5051,1243,6728,10896,2069,5311,2290,372,1134,27,2604
774,410,1016,146,1001,398,521,706,1020,1284,469,1100,286,80,499
512,339,490,47,365,113,303,385,216,741,306,59,316,0,690
